Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Nearest_Station,Station_Province,Distance_km,PAR_START,PAR_END,Duration_in_PAR_Hours,Max_Sustained_Wind_kph,Typhoon_Type,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Weather_Station_Mapped,Weather_Records_Found,Weather_Days_Covered
FLORITA,2022,2,CAGAYAN,ENRILE,1,6,1,0,1,0,0,2,2,0,0.0,TUGUEGARAO,CAGAYAN,6.91746225,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4
HENRY,2022,2,BATANES,BASCO,2,10,1,0,0,0,0,0,0,0,0.0,BASCO,BATANES,2.497503561,8/31/2022,9/4/2022,80.2,195,STY,85.4,139.6,994.2,1,5,5
HENRY,2022,3,ZAMBALES,SAN MARCELINO,3,13,1,0,0,0,0,0,0,0,0.0,SUBIC BAY,ZAMBALES,25.94837784,8/31/2022,9/4/2022,80.2,195,STY,141.8,271.6,1005.3,1,5,5
JENNY,2023,2,BATANES,BASCO,1,1,1,0,0,0,0,0,0,0,783.93,BASCO,BATANES,2.497503561,9/29/2023,10/6/2023,146.7,175,TY,134.0,224.2,998.9,1,8,8
JENNY,2023,2,BATANES,ITBAYAT,6,20,2,0,0,0,0,0,0,6,3072.0,ITBAYAT,BATANES,3.204942957,9/29/2023,10/6/2023,146.7,175,TY,273.0,355.8,1000.6,1,8,8
JENNY,2023,2,BATANES,SABTANG,0,139,4,0,0,0,0,0,0,66,51739.38,BASCO,BATANES,19.89123103,9/29/2023,10/6/2023,146.7,175,TY,134.0,224.2,998.9,1,8,8
JOLINA,2021,5,ALBAY,LEGAZPI CITY,215,760,1,0,0,0,0,0,0,0,0.0,LEGAZPI CITY,ALBAY,5.110872132,9/6/2021,9/9/2021,103.0,120,TY,49.3,108.0,1004.5,1,4,4
JOLINA,2021,5,ALBAY,DARAGA,20,71,1,0,0,0,0,0,0,0,0.0,LEGAZPI CITY,ALBAY,5.924450619,9/6/2021,9/9/2021,103.0,120,TY,49.3,108.0,1004.5,1,4,4
JOLINA,2021,8,EASTERN SAMAR,MERCEDES,1187,4748,1,0,4,0,9,241,250,0,0.0,GUIUAN,EASTERN SAMAR,6.80943955,9/6/2021,9/9/2021,103.0,120,TY,150.1,150.1,991.6,1,4,4
KABAYAN,2023,8,SOUTHERN LEYTE,PADRE BURGOS,17,59,2,0,0,0,0,0,0,0,0.0,MAASIN,SOUTHERN LEYTE,18.02056882,12/17/2023,12/18/2023,59.0,65,TS,98.8,139.4,1007.5,1,2,2
KABAYAN,2023,8,SOUTHERN LEYTE,BONTOC,13,42,2,0,0,0,0,0,0,0,0.0,MAASIN,SOUTHERN LEYTE,28.25479736,12/17/2023,12/18/2023,59.0,65,TS,98.8,139.4,1007.5,1,2,2
KABAYAN,2023,8,SOUTHERN LEYTE,SAN JUAN,57,231,2,0,0,0,0,0,0,0,0.0,MAASIN,SOUTHERN LEYTE,41.38282925,12/17/2023,12/18/2023,59.0,65,TS,98.8,139.4,1007.5,1,2,2
KARDING,2022,2,CAGAYAN,APARRI,278,1084,2,0,0,0,0,0,0,24,12048.0,APARRI,CAGAYAN,0.131954557,9/22/2022,9/26/2022,114.0,195,STY,25.0,57.0,1004.1,1,5,5
KARDING,2022,5,CAMARINES NORTE,DAET,4,17,3,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,1.128639745,9/22/2022,9/26/2022,114.0,195,STY,72.3,98.8,999.5,1,5,5
KARDING,2022,3,BATAAN,MORONG,58,247,2,0,0,0,0,0,0,0,46400.0,SUBIC BAY,ZAMBALES,1.186245184,9/22/2022,9/26/2022,114.0,195,STY,255.8,312.0,999.5,1,5,5
KIKO,2021,2,CAGAYAN,APARRI,57,248,8,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,0.131954557,9/7/2021,9/12/2021,116.0,215,STY,40.5,55.1,1000.9,1,6,6
KIKO,2021,2,BATANES,BASCO,3043,10656,6,0,0,0,171,1247,1418,5166,13757200.0,BASCO,BATANES,2.497503561,9/7/2021,9/12/2021,116.0,215,STY,420.7,604.9,927.9,1,6,6
KIKO,2021,2,BATANES,ITBAYAT,977,2985,5,0,0,0,11,174,185,977,488500.0,ITBAYAT,BATANES,3.204942957,9/7/2021,9/12/2021,116.0,215,STY,510.0,688.2,927.9,1,6,6
MARING,2021,2,CAGAYAN,APARRI,5915,20505,20,0,0,0,0,0,0,6835,12303536.0,APARRI,CAGAYAN,0.131954557,10/7/2021,10/12/2021,118.0,100,STS,138.4,227.31,981.4,1,6,6
MARING,2021,2,BATANES,BASCO,1,2,1,0,0,0,0,0,0,0,0.0,BASCO,BATANES,2.497503561,10/7/2021,10/12/2021,118.0,100,STS,81.4,152.1,986.0,1,6,6
MARING,2021,2,CAGAYAN,CALAYAN,1000,3235,9,0,0,0,0,0,0,1400,653952.0,CALAYAN,CAGAYAN,3.925675123,10/7/2021,10/12/2021,118.0,100,STS,133.4,218.2,980.7,1,6,6
MAYMAY,2022,2,CAGAYAN,APARRI,5297,21011,29,0,0,0,0,0,0,3784,2249962.0,APARRI,CAGAYAN,0.131954557,10/10/2022,10/12/2022,54.0,45,TD,132.9,280.7,1005.9,1,3,3
MAYMAY,2022,2,CAGAYAN,CAMALANIUGAN,465,1914,14,0,0,0,0,0,0,591,302592.0,APARRI,CAGAYAN,10.53998482,10/10/2022,10/12/2022,54.0,45,TD,132.9,280.7,1005.9,1,3,3
MAYMAY,2022,2,CAGAYAN,BALLESTEROS,393,1395,10,0,0,0,0,0,0,392,200704.0,APARRI,CAGAYAN,14.14369328,10/10/2022,10/12/2022,54.0,45,TD,132.9,280.7,1005.9,1,3,3
