region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_sum,has_cash_sum,has_hygiene_health_sum,has_sleeping_essentials_sum,has_shelter_support_sum,num_typhoons,recurrence_rate,cost_per_family
1,2981703.0,6.0,0.0,0.0,6797.0,60747.0,241005894.65,52,3,8,9,0,25,5.0,312.6199304599811
4A,1393238.0,5.0,3.0,0.0,2427.0,32350.0,69236773.74,9,11,2,0,0,18,3.0,186.95461937678888
2,287861.0,0.0,0.0,0.0,19.0,408.0,50567132.400000006,25,0,3,5,5,16,3.2,697.4873087904662
4A,716944.0,7.0,0.0,0.0,400.0,1030.0,111238158.38,9,3,11,0,0,22,3.6666666666666665,645.0196766730257
4B,66386.0,6.0,0.0,0.0,55.0,1233.0,6715791.2,27,0,3,1,1,22,3.6666666666666665,401.6621531100479
8,575751.0,0.0,13.0,0.0,249.0,5120.0,33515924.35,25,0,0,0,0,13,2.6,233.32306050986455
12,36172.0,0.0,7.0,0.0,154.0,893.0,5005500.0,1,6,0,0,0,13,3.25,595.3258801141769
7,16688.0,0.0,0.0,0.0,158.0,4516.0,19520.0,7,0,0,0,0,7,1.75,4.084536513915045
5,1019687.0,3.0,8.0,0.0,1490.0,26184.0,51113102.730000004,37,1,3,1,1,23,3.8333333333333335,198.5429777308199
12,22814.0,0.0,0.0,0.0,24.0,323.0,740540.0,2,1,0,0,0,10,2.0,160.53327552568828
8,508176.0,18.0,94.0,4.0,35027.0,65670.0,133530313.99,25,19,20,20,16,9,2.25,1024.3039688712968
12,296654.0,2.0,10.0,0.0,350.0,916.0,20000019.46,7,3,1,0,1,13,3.25,329.81018551804885
BARMM,1289.0,1.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1.0,0.0
13,12888.0,0.0,0.0,0.0,15.0,14.0,2964415.7399999998,0,0,0,0,0,2,2.0,998.7923652291105
CARAGA,664918.0,19.0,374.0,0.0,47978.0,69969.0,355563260.74,1,12,0,0,0,9,1.8,1993.581645155141
13,1.0,0.0,0.0,0.0,1.0,0.0,1560.0,0,0,0,0,0,2,2.0,1560.0
CARAGA,628763.0,0.0,4.0,0.0,367.0,9690.0,27612203.18,11,0,0,0,0,4,1.3333333333333333,165.88289505935504
3,467250.0,0.0,0.0,0.0,21.0,47.0,16133023.47,12,0,1,0,0,19,3.1666666666666665,124.57067439328542
BARMM,1615.0,0.0,0.0,0.0,134.0,103.0,0.0,0,0,0,0,0,4,4.0,0.0
3,176692.0,2.0,4.0,0.0,165.0,302.0,16125246.3,19,0,1,0,1,29,4.833333333333333,302.61126165856587
9,96666.0,7.0,0.0,0.0,315.0,361.0,13865559.72,2,1,0,1,0,12,2.4,658.9155405598061
9,233216.0,0.0,1.0,0.0,118.0,185.0,4355621.0,7,1,0,1,0,13,2.6,86.47080661491731
9,19519.0,0.0,0.0,0.0,70.0,222.0,397129.4,2,0,2,1,0,13,2.6,84.60362164465275
9,4093.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9,4.5,0.0
